twl   Tripterygium wilfordii (thunder duke vine)
vvi   Vitis vinifera (wine grape)
vri   Vitis riparia (riverbank grape)
sly   Solanum lycopersicum (tomato)
spen  Solanum pennellii
sot   Solanum tuberosum (potato)
sstn  Solanum stenotomum
cann  Capsicum annuum (peppers)
nta   Nicotiana tabacum (common tobacco)
nsy   Nicotiana sylvestris (wood tobacco)
nto   Nicotiana tomentosiformis
nau   Nicotiana attenuata (coyote tobacco)
ini   Ipomoea nil (Japanese morning glory)
itr   Ipomoea triloba (trilobed morning glory)
sind  Sesamum indicum (sesame)
oeu   Olea europaea var. sylvestris (wild olive)
egt   Erythranthe guttata (spotted monkey flower)
sspl  Salvia splendens (scarlet sage)
han   Helianthus annuus (common sunflower)
ecad  Erigeron canadensis (horseweed)
lsv   Lactuca sativa (garden lettuce)
ccav  Cynara cardunculus var. scolymus (artichoke)
dcr   Daucus carota (carrot)
csin  Camellia sinensis (tea plant)
bvg   Beta vulgaris (sugar beet)
soe   Spinacia oleracea (spinach)
cqi   Chenopodium quinoa (quinoa)
nnu   Nelumbo nucifera (sacred lotus)
ming  Macadamia integrifolia (macadamia nut)
tss   Telopea speciosissima (New South Wales waratah)
psom  Papaver somniferum (opium poppy)
ncol  Nymphaea colorata (blue-petal water lily)
osa   Oryza sativa japonica (Japanese rice) (RefSeq)
dosa  Oryza sativa japonica (Japanese rice) (RAPDB)
obr   Oryza brachyantha (malo sina)
bdi   Brachypodium distachyon (stiff brome)
ats   Aegilops tauschii (wheat D)
tdc   Triticum dicoccoides (wild emmer wheat)
taes  Triticum aestivum (bread wheat)
tua   Triticum urartu (red wild einkorn wheat)
sbi   Sorghum bicolor (sorghum)
zma   Zea mays (maize)
sita  Setaria italica (foxtail millet)
svs   Setaria viridis (green foxtail)
pvir  Panicum virgatum (switchgrass)
phai  Panicum hallii (Halls panicgrass)
pda   Phoenix dactylifera (date palm)
egu   Elaeis guineensis (African oil palm)
mus   Musa acuminata (wild Malaysian banana)
dct   Dendrobium catenatum
peq   Phalaenopsis equestris
aof   Asparagus officinalis (garden asparagus)
atr   Amborella trichopoda
smo   Selaginella moellendorffii
ppp   Physcomitrium patens (spreading earthmoss)
cre   Chlamydomonas reinhardtii
vcn   Volvox carteri f. nagariensis
mng   Monoraphidium neglectum
csl   Coccomyxa subellipsoidea
cvr   Chlorella variabilis
apro  Auxenochlorella protothecoides
olu   Ostreococcus lucimarinus
ota   Ostreococcus tauri
bpg   Bathycoccus prasinos
mis   Micromonas commoda
mpp   Micromonas pusilla
cme   Cyanidioschyzon merolae
gsl   Galdieria sulphuraria
ccp   Chondrus crispus (carragheen)
sce   Saccharomyces cerevisiae (budding yeast)
seub  Saccharomyces eubayanus
spao  Saccharomyces paradoxus
ago   Ashbya gossypii (Eremothecium gossypii)
erc   Eremothecium cymbalariae
kla   Kluyveromyces lactis
kmx   Kluyveromyces marxianus
lth   Lachancea thermotolerans
vpo   Vanderwaltozyma polyspora
zro   Zygosaccharomyces rouxii
cgr   Candida glabrata
ncs   Naumovozyma castellii
ndi   Naumovozyma dairenensis
tpf   Tetrapisispora phaffii
tbl   Tetrapisispora blattae
tdl   Torulaspora delbrueckii
tgb   Torulaspora globosa
kaf   Kazachstania africana
kng   Kazachstania naganishii
zmk   Zygotorulaspora mrakii
ppa   Komagataella phaffii
dha   Debaryomyces hansenii
pic   Scheffersomyces stipitis
pgu   Meyerozyma guilliermondii
spaa  Spathaspora passalidarum
lel   Lodderomyces elongisporus
cal   Candida albicans
ctp   Candida tropicalis
cot   Candida orthopsilosis
cdu   Candida dubliniensis
cten  Yamadazyma tenuis
yli   Yarrowia lipolytica
clu   Clavispora lusitaniae ATCC 42720
clus  Clavispora lusitaniae CBS 6936
caur  Candida auris
slb   Sugiyamaella lignohabitans
pkz   Pichia kudriavzevii
bnn   Brettanomyces nanus
bbrx  Brettanomyces bruxellensis
opa   Ogataea parapolymorpha
slud  Saccharomycodes ludwigii
ncr   Neurospora crassa
nte   Neurospora tetrasperma
smp   Sordaria macrospora
pan   Podospora anserina
ttt   Thermothielavioides terrestris
mtm   Thermothelomyces thermophilus
cthr  Thermochaetoides thermophila
mgr   Pyricularia oryzae
ppei  Pyricularia pennisetigena
tmn   Phaeoacremonium minimum
ssck  Sporothrix schenckii
fgr   Fusarium graminearum
fpu   Fusarium pseudograminearum
fvr   Fusarium verticillioides
fox   Fusarium oxysporum
nhe   Fusarium vanettenii
tre   Trichoderma reesei QM6a
trr   Trichoderma reesei RUT C-30
maw   Metarhizium acridum
maj   Metarhizium robertsii
cmt   Cordyceps militaris
plj   Purpureocillium lilacinum
val   Verticillium alfalfae
vda   Verticillium dahliae
cfj   Colletotrichum fioriniae
clup  Colletotrichum lupini
chig  Colletotrichum higginsianum
sapo  Scedosporium apiospermum
